,단어명,물리명,영문명,금칙어
14841,차입처,BRWPLC,BORROWING PLACE,
14842,차종,KDCAR,KIND OF CAR,
14843,차주,NXTWK,NEXT WEEK,내주
14844,차주,BRRWR,BORROWER,
14845,차집,ICG,INTERCEPTING,
14846,차차월,MAFNXTM,MONTH AFTER THE NEXT MONTH,익익월
14847,차차차월,TMAFNXTM,TWO MONTHS AFTER THE NEXT MONTH,익익익월
14848,차축,AXLE,AXLE,
14849,차출,TMPTRF,TEMPORARY TRANSFER,
14850,차폐,SHDNG,SHIELDING,
14851,차하위,NLRNK,NEXT LOW RANK,
14852,차항,NXTPRT,NEXT PORT,
14853,차환,RFUND,REFUNDING,
14854,차후,HAFT,HEREAFTER,
14855,착공,STRCNS,STARTING CONSTRUCTION WORK,
14856,착공계,CPFC,COMMENCEMENT PLAN FOR CONSTRUCTION,
14857,착공일자,STRCNSDT,STARTING CONSTRUCTION WORK DATE,착공일
14858,착륙,LNDNG,LANDING,랜딩
14859,착륙거리,LNDDST,LANDING DISTANCE,
14860,착륙장,LNDFLD,LANDING FIELD,
14861,착륙장소,LANDSITE,LANDING SITE,
14862,착륙지대,LZ,LANDING ZONE,LZ
14863,착륙지역,LNDAR,LANDING AREA,
14864,착선인도조건,DES,DELIVERED EX SHIP,
14865,착수,BEGIN,BEGIN,
14866,착수금,DPSMN,DEPOSIT MONEY,
14867,착수일자,BGNDT,BEGIN DATE,착수일
14868,착신,MSGRV,MESSAGE RECEIVED,
14869,착오,MSTK,MISTAKE,
14870,착오번호,MSTKNO,MISTAKE NUMBER,
14871,착오코드,ERRCD,ERROR CODE,
14872,착용,WRNG,WEARING,
14873,착의,DRES,DRESS,
14874,착저,BTMNG,BOTTOMING,
14875,찬반,YSNO,YES OR NO,
14876,찬성,APPRVL,APPROVAL,
14877,찰과상,ABRSN,ABRASION,
14878,찰리,CHRLI,CHARLIE,CHARLIE
14879,참가,JOIN,JOINING,
14880,참가자,ENTPSN,ENTRY PERSON,
14881,참가함소,PU,PARTICIPATING UNIT,
14882,참고,REF,REFERENCE,
14883,참고번호,REFNO,REFERENCE NUMBER,
14884,참고자,CCP,CARBON COPY PERSON,
14885,참고자료,REFDTA,REFERENCE DATA,
14886,참고징후,REFID,REFERENCE INDICATION,
14887,참고치,REFVAL,REFERENCE VALUE,
14888,참고평정,REFEVT,REFERENCE EVALUATION,
14889,참관,VISIT,VISIT,
14890,참관인,OBSRVR,OBSERVER,참관자
14891,참관지,VSTPL,VISIT PLACE,
14892,참모,STF,STAFF,
14893,참모장,CS,CHIEF OF STAFF,CS
14894,참모판단,STFES,STAFF ESTIMATE,
14895,참석,ATND,ATTENDANCE,
14896,참석자,ATDRN,ATTENDANCE PERSON,
14897,참여,PTCPTN,PARTICIPATION,
14898,참여일자,PTCPTDT,PARTICIPATION DATE,참여일
14899,참여자,PTCPTPSN,PARTICIPATION PERSON,
14900,참전,ENTWR,ENTER THE WAR,
14901,참전유공자,MFMWCR,MAN OF MERIT WHO HAVE PARTICIPATED IN WAR,
14902,참정권,VOTRT,RIGHT TO VOTE,
14903,참조,REFRC,REFERENCE,
14904,참조검사,REFINP,REFERENCE INSPECTION,
14905,참조문서번호,REFDOCNO,REFERENCE DOCUMENT NUMBER,
14906,참조번호,RFNO,REFERENCE NUMBER,
14907,참조자,REFPSN,REFERENCE PERSON,
14908,참조점,RFPNT,REFERENCE POINT,
14909,참조지도번호,REFMAPNO,REFERENCE MAP NUMBER,
14910,참조처,REFPLC,PLACE OF REFERENCE,
14911,참조키,REFKEY,REFERENCE KEY,
14912,창,WNDW,WINDOWS,
14913,창,DPT,DEPOT,
14914,창고,WHS,WAREHOUSE,고
14915,창고료,WHSCHG,WAREHOUSE CHARGES,
14916,창고번호,WHSNO,WAREHOUSE NUMBER,
14917,창고업,WRHB,WAREHOUSE BUSINESS,
14918,창고증권,WRBND,WAREHOUSE BOND,
14919,창고형,DPTTP,DEPOT TYPE,
14920,창고형태코드,DPTTPCD,DEPOT TYPE CODE,
14921,창구,WICKET,WICKET,
14922,창당,FOPP,FORMATION OF A POLITICAL PARTY,
14923,창상,WUND,WOUND,
14924,창설,ESTBLSH,ESTABLISHMENT,
14925,창설모체부대,CPTRP,CONSTITUTION PARENT TROOP,
14926,창설일자,ESTBLDT,ESTABLISHMENT DATE,창설일
14927,창수리율,DRP,DEPOT REPAIR PERCENT,
14928,창안,ORIDA,ORIGINAL IDEA,
14929,창업,FDNG,FOUNDING,
14930,창의,ORGIDEA,ORIGINAL IDEA,
14931,창의성,ITTSPR,INITIATIVE SPIRIT,
14932,창정비,DPTMTN,DEPOT MAINTENANCE,
14933,창정비계획,MRS,MATERIAL REPAIR SCHEDULE,MRS
14934,창정비비,DMCST,DEPOT MAINTENANCE COST,창정비비용
14935,창정비시점구분코드,DMPTDCD,DEPOT MAINTENANCE POINT OF TIME DIVISION CODE,
14936,창정비작업요구서,DMWWR,DEPOT MAINTENANCE WORK WRITTEN REQUEST,
14937,창조21모델,CJ21M,CHANGJO 21 MODEL,
14938,창조21모델제병표적식별코드,CJ21MTGIDCD,CJ21 MODEL TARGET IDENTIFICATION CODE,
14939,창조21모델제병표적처리결과코드,CJ21MTGTPRCD,CJ21 MODEL TARGET PROCESS RESULT CODE,
14940,창조21모델포대코드,CJ21MBTTRYCD,CJ21 MODEL BATTERY CODE,
14941,창조류,FSAHT,FLOW OF SEA AT HIGH TIDE,
14942,찾기,FNDNG,FINDING OUT,
14943,채광,MING,MINING,
14944,채권,BOND,BOND,
14945,채권공제보류구분코드,BSRDCD,BOND SUBTRACTION RESERVATION DIVISION CODE,
14946,채권관리,BNDMGT,BOND MANAGEMENT,
14947,채권관리관,MNGBND,MANAGER OF BOND,
14948,채권법,LFLGS,LAW OF OBLIGATIONS,
14949,채권사건구분코드,BNDADCD,BOND AFFAIR DIVISION CODE,
14950,채권압류,GNSHMNT,GARNISHMENT,
14951,채권압류코드,BSCD,BOND SEIZURE CODE,
14952,채권양도,CSSNOBG,CESSION OF AN OBLIGATION,
14953,채권양수,RCVOBG,RECEIVE OF AN OBLIGATION,
14954,채권완결구분코드,BCDCD,BOND COMPLETION DIVISION CODE,
14955,채권의뢰기관구분코드,BRODCD,BOND REQUEST ORGAN DIVISION CODE,
14956,채권자,CRDTR,CREDITOR,
14957,채권채무구분코드,BDDCD,BOND DEBT DIVISION CODE,
14958,채권침해,CTNF,CREDIT INFRINGEMENT,
14959,채권행위,CRDACT,CREDIT ACTION,
14960,채널,CHNL,CHANNEL,
14961,채널번호,CHNLNO,CHANNEL NUMBER,
14962,채도,SATRTN,Saturation,
14963,채무,DEBT,DEBT,
14964,채무관리,DBTMGT,DEBT MANAGEMENT,
14965,채무면제,WRFL,WAIVER OF AN OBLIGATION,
14966,채무불이행,DTNBG,DEFAULT ON AN OBLIGATION,
14967,채무상환,DBTRDT,DEBT REDEMPTION,
14968,채무승인,ACWMOBL,ACKNOWLEDGMENT OF AN OBLIGATION,
14969,채무자,DBTR,DEBTOR,
14970,채번,RNG,RANDOM NUMBER GENERATE,
14971,채번번호,RNGNO,RANDOM NUMBER GENERATE NUMBER,
14972,채용,RCRTMT,RECRUITMENT,고용
14973,채용일자,RCRTDT,RECRUITMENT DATE,"채용일,고용일,고용일자"
14974,채용후보자,PRPEMP,PROSPECTIVE EMPLOYEE,
14975,채움,FILUP,FILL UP,
14976,채점,MRKNG,MARKING,
14977,채취,CLT,COLLECT,
14978,채취번호,CLTNO,COLLECT NUMBER,
14979,채취부위,CREG,COLLECT REGION,
14980,채택,ADPT,ADOPTION,
14981,채택일자,ADPTDT,ADOPTION DATE,채택일
14982,채팅,CHTT,CHATTING,
14983,채프,CHAFF,CHAFF,
14984,채혈,BLDCLT,BLOOD COLLECTION,
14985,채혈일자,BLDCLTDT,BLOOD COLLECTION DATE,채혈일
14986,책,CTMSR,COUNTERMEASURE,
14987,책,BK,BOOK,"BOOK,북,서적"
14988,책갈피,BKMRK,BOOKMARK,
14989,책권정보일련번호,VLMINFSNO,VOLUME INFORMATION SERIAL NUMBER,
14990,책무,DTRSPB,DUTY AND RESPONSIBILITY,
14991,책임,RSPS,RESPONSIBILITY,
14992,책임감,SNSRSP,SENSE OF RESPONSIBILITY,
14993,책임감리,RSPSSPVS,RESPONSIBILITY SUPERVISION,
14994,책임운영기관제도,EAS,EXECUTIVE AGENCY SYSTEM,
14995,책임자,MNGR,MANAGER,
14996,책임지역,AOR,AREA OF RESPONSIBILITY,
14997,책자,BKLT,BOOKLET,
14998,책정,APRP,APPROPRIATION,
14999,처,PLACE,PLACE,
15000,처리,PRCSS,PROCESS,
15001,처리,DSPSL,DISPOSAL,
15002,처리과,PCDPM,PROCESSING DEPARTMENT,
15003,처리대상,SOD,SUBJECT OF DISPOSAL,
15004,처리반,DPGR,DISPOSAL GROUP,
15005,처리번호,PROCSNO,PROCESS NUMBER,
15006,처리상태코드,PRCSSSTATECD,PROCESS STATE CODE,
15007,처리일자,PROCDT,PROCESS DATE,처리일
15008,처리일자,DSPSDT,DISPOSAL DATE,처리일
15009,처리자,PCPSN,PROCESSING PERSON,
15010,처리자재,DPMT,DISPOSAL MATERIALS,
15011,처리장,PRCPLT,PROCESSING PLANT,
15012,처리정보,TREINFO,TREATMENT INFORMATION,
15013,처리후,AFTPRC,AFTER PROCESS,
15014,처마,EAVE,EAVES,
15015,처방,PRSCRT,PREION,
15016,처방기초용량,PBCPT,PREION BASICS CAPACITY,
15017,처방마스터,PMAT,PREION MASTER,
15018,처방묶음번호,PRSCRTBNDLNO,PREIONBUNDLENUMBER,
15019,처방번호,PRSCNO,PREION NUMBER,
15020,처방세트유형번호,SETPNO,PREION SET TYPE NUMBER,
15021,처방입력,PINT,PREION INPUT,
15022,처방자,PRCBR,PRESCRIBER,
15023,처방전,PPMD,PAPER OF MEDICAL ORDER,
15024,처방주의사항,PATMAT,PREION ATTENTION MATTER,
15025,처방중지,DCN,DISCONTINUE,
15026,처방코드번호,PRSCRTCODENO,PREIONCODE NUMBER,
15027,처방특이사항,PSPITM,PREION SPECIAL ITEM,
15028,처벌,PNISH,PUNISHMENT,
15029,처벌코드,PNISHCD,PUNISHMENT CODE,
15030,처분,DISPSL,DISPOSAL,
15031,처분,DSPST,DISPOSITION,
15032,처분일자,DSPSLDT,DISPOSAL DATE,처분일
15033,처우,TRET,TREATMENT,
15034,처장,CFMNST,CHIEF OF MINISTRY,
15035,처치,DSPOSL,DISPOSAL,
15036,처치,MDCTRT,MEDICAL TREATMENT,
15037,처치수술,MTOP,MEDICAL TREATMENT OPERATION,
15038,처치항목,MITM,MEDICAL TREATMENT ITEM,
15039,척,SHPS,SHIPS,
15040,척,CHUCK,CHUCK,
15041,척도,CRTRN,CRITERION,
15042,척수,VSCNT,NUMBER OF VESSEL,
15043,척수,SPNCRD,SPINAL CORD,
15044,척수조영술,MYLGPH,MYELOGRAPHY,척추조영술
15045,척추,VTBR,VERTEBRAE,
15046,천기,WEATH,WEATHER,
15047,천막,TENT,TENT,
15048,천무,CNM,CHUNMU,
15049,천문학적박명종,EEAT,END EVENING ASTRONOMICAL TWILIGHT,천문박명종
15050,천문학적박명초,BMAT,BEGINNING MORNING ASTRONOMICAL TWILIGHT,천문박명초
15051,천원,ONETHWN,ONE THOUSAND WON,
15052,천장,CEIL,CEILING,
15053,천재,NMTY,NATURAL CALAMITY,
15054,천주교,CAHLC,CATHOLIC,
15055,천체,CLSBD,CELESTIAL BODY,
15056,철,FE,FERRUM,FE
15057,철,FL,FILE,
15058,철갑,IRCVR,IRON COVERING,
15059,철갑관통력,APSTRNGTH,ARMOR PIERCE STRENGTH,
15060,철거,DMLT,DEMOLITION,
15061,철거일자,DMLTDT,DEMOLITION DATE,철거일
15062,철골,SRLFRM,STEEL FRAME,
15063,철관,IRNPP,IRON PIPE,
15064,철근,RNFROD,REINFORCING ROD,
15065,철도,RAILRD,RAILROAD,철로
15066,철도망,RLNW,RAILROAD NETWORK,
15067,철도번호,RAILNO,RAIL NUMBER,
15068,철도수송지원장비구분코드,RTSEQDCD,RAILROAD TRANSPORTATION SUPPORT EQUIPMENT DIVISION CODE,
15069,철도시설,RAILINST,RAILROAD INSTALLATION,
15070,철도이동관리대,TMC,TRANSPORTATION MOVEMENT CENTER,철이대
15071,철도이동관리반,TMCLS,TRANSPORTATION MOVEMENT CLASS,철이반
15072,철도차량유형코드,RAVHCTYCD,RAIL VEHICLE TYPE CODE,
15073,철도청,NRA,NATIONAL RAILROAD ADMINISTRATION,
15074,철도피해구분코드,RAILDMGDVSCD,RAILROAD DAMAGE DIVISION CODE,
15075,철분,IRNCNT,IRON CONTENT,
15076,철선,IWR,IRON WIRE,
15077,철수,WTDRWL,WITHDRAWAL,
15078,철제,IRON,IRON,
15079,철조망,BWE,BARBED WIRE ENTANGLEMENTS,
15080,철조망길이구분코드,BWELENCD,BARBED WIRE ENTANGLEMENTS LENGTH SECTION CODE,
15081,철조망용도구분코드,BWEPPCD,BARBED WIRE ENTANGLEMENTS PURPOSE DIVISION CODE,
15082,철조망유형코드,BWETYPCD,BARBED WIRE ENTANGLEMENTS TYPE CODE,
15083,철조망종류코드,BWEKCD,BARBED WIRE ENTANGLEMENTS KIND CODE,
15084,철침,ANVIL,ANVIL,
15085,철탑,INTWR,IRON TOWER,
15086,철항,IRNPK,IRON PACK,
15087,철회,RETRTN,RETRACTION,
15088,철회일자,RETRDT,RETRACTION DATE,철회일
15089,첨가물,ADTV,ADDITIVE,
15090,첨가제,ADDPRD,ADDITIONAL PRODUCT,
15091,첨단,UPTODE,UP-TO-DATE,
15092,첨두시,PKTM,PEAK TIME,
15093,첨부,ATCH,ATTACH,부첨
15094,첨부문서,ATCHDOC,ATTACHED DOCUMENT,
15095,첨부문서번호,ATCDOCNO,ATTACH DOCUMENT NUMBER,
15096,첨부번호,ATCHNO,ATTACH NUMBER,
15097,첨부서류,ADOC,ATTACH DOCUMENTS,
15098,첨부자,ATACHR,ATACHR,
15099,첨부파일,ATCHFL,ATTACHMENT FILE,
15100,첨부파일묶음번호,ATCHFLBNDLNO,ATTACHMENT FILE BUNDLE NUMBER,
15101,첩보,INFMTN,INFORMATION,
15102,첩보관심영역분류코드,INFINTDMCLCD,INFORMATION INTEREST DOMAIN CLASSIFICATION CODE,
15103,첩보메시지유통체계데이터,M3DTA,M3 DATA,
15104,첩보번호,INFNO,INFORMATION NUMBER,
15105,첩보분류코드,IFMCLCD,INFORMATION CLASSIFICATION CODE,
15106,첩보수집계획분류코드,INFCLPLNCLCD,INFORMATION COLLECTION PLAN CLASSIFICATION CODE,
15107,첩보수집부대구분코드,INCLUNTDVCD,INFORMATION COLLECTION UNIT DIVISION CODE,
15108,첩보요구,IRA,INFORMATION REQUIREMENTS,
15109,첩보요청,IFREQ,INFORMATION REQUEST,
15110,첩보요청대상대분류코드,IFREQOLGCLCD,INFORMATION REQUEST OBJECT LARGE CLASSIFICATION CDDE,
15111,첩보요청대상소분류코드,IFREQOSMCLCD,INFORMATION REQUEST OBJECT SMALL CLASSIFICATION CDDE,
15112,첩보요청대상중분류코드,IFREQOMDCLCD,INFORMATION REQUEST OBJECT MIDDLE CLASSIFICATION CDDE,
15113,첩보요청번호,INFRQNO,INFORMATION REQUEST NUMBER,
15114,첩보요청진행상태코드,IRPSCD,INFORMATION REQUEST PROGRESS STATE CODE,
15115,첩보정확성등급코드,IPLVCD,INFORMATION PRECISION LEVEL CODE,
15116,첩보출처,SCINF,SOURCE OF INFORMATION,
15117,첩보해석,INTRP,INTERPRETATION INTERPRETATION,
15118,첩보활동수준코드,INFACTLVCD,INFORMATION ACTIVITY LEVEL CODE,
15119,첫차,FIRCAR,FIRST CAR,
15120,청,OFFC,OFFICE,
15121,청각,HRNG,HEARING,
15122,청결,PRTY,PURITY,
15123,청구,REQ,REQUISITION,"빌링,BILL"
15124,청구대기기간,RWT,REQUISITION WAITING TIME,
15125,청구목표,RO,REQUISITION OBJECTIVE,RO
15126,청구문서번호,REQDOCNO,REQUISITION DOCUMENT NUMBER,
15127,청구보급제도,RSS,REQUISITIONING SUPPLY SYSTEM,
15128,청구서,CLAIM,CLAIM,
15129,청구심사완료,RJCMP,REQUISITION JUDGMENT COMPLETION,
15130,청구우선순위코드,DPCD,DEMAND PRIORITY CODE,
15131,청구일련구분코드,RSNCD,REQUEST SERIAL NUMBER DIVISION CODE,
15132,청구일자,RQSTNDT,REQUISITION DATE,청구일
15133,청구자,CLMNT,CLAIMANT,청구인
15134,청구처방,RQPRS,REQUISITION PREION,
15135,청군,BLFRC,BLUE FORCE,
15136,청력,AUDTN,AUDITION,
15137,청력장애,AUOBS,AUDITION OBSTACLE,
15138,청렴,PRBT,PROBITY,
15139,청렴계약,PRBCTR,PROBITY CONTRACT,
15140,청렴도,PRBTLVL,PROBITY LEVEL,
15141,청사,GBD,GOVERNMENT BUILDINGS,
15142,청산,LQDTN,LIQUIDATION,
15143,청색증,CYANS,CYANOSIS,
15144,청소,CLNG,CLEANING,크리닝
15145,청소년,YOUTH,YOUTH,
15146,청수,CLWTR,CLEAR WATER,
15147,청약,SUBSCRPT,SUBION,
15148,청약일,SBRPDE,SUBION DATE,
15149,청약자,SUBSCBER,SUBSCRIBER,
15150,청원,PTITN,PETITION,
15151,청원경찰,PSDPB,POLICEMAN SPECIALLY DETAILED TO PROTECT BODY,
15152,청음,QT,QUAKETAPPING,
15153,청장,DTVNFC,DIRECTOR OF A GOVERNMENT OFFICE,
15154,청정생산기술,CTHY,CLEAN TECHNOLOGY,
15155,청중,AUDE,AUDIENCE,
15156,청취,LISTN,LISTENING,
15157,청해모델,CHMD,CHONGHAE MODEL,
15158,체감,FEEL,FEEL,
15159,체감온도,SENSBLTPRT,SENSIBLE TEMPERATURE,
15160,체격,PYSQ,PHYSIQUE,
15161,체결,CTRTNG,CONTRACTING,
15162,체결일자,CTRTDT,CONTRACTING DATE,체결일
15163,체결자,CLPRN,CONCLUSION PERSON,
15164,체계,SYSTEM,SYSTEM,
15165,체계개발,FLSCLDVL,FULL SCALE DEVELOPMENT,
15166,체계개선소요검토결과코드,SIRRRCD,SYSTEM IMPROVEMENT REQUIREMENT REVIEW RESULT CODE,
15167,체계개선소요검토구분코드,SIRRDVCD,SYSTEM  IMPROVEMENT REQUIREMENT REVIEW DIVISION CODE,
15168,체계개선소요국가코드,SIRNCD,SYSTEM  IMPROVEMENT REQUIREMENT NATION CODE,
15169,체계개선소요대분류코드,SIRLCLSCD,SYSTEM IMPROVEMENT REQUIREMENT LARGE CLASSIFICATION CODE,
15170,체계개선소요상태구분코드,SIRSDVCD,SYSTEM IMPROVEMENT REQUIREMENT STATE DIVISION CODE,
15171,체계개선소요소분류코드,SIRSCLSCD,SYSTEM IMPROVEMENT REQUIREMENT SMALL CLASSIFICATION CODE,
15172,체계개선소요중분류코드,SIRMCLSCD,SYSTEM IMPROVEMENT REQUIREMENT MIDDLE CLASSIFICATION CODE,
15173,체계개선소요진행의견구분코드,SIRPODVCD,SYSTEM IMPROVEMENT REQUIREMENT PROGRESS OPINION DIVISION CODE,
15174,체계사용이력,SYSUSEHSTR,SYSTEM USE HISTORY,
15175,체계사용자상태코드,SUSCD,SYSTEM USER STATE CODE,
15176,체계업무자원구분코드,SBRDCD,SYSTEM BUSINESS RESOURCE DIVISION CODE,
15177,체계운용상태,SYSOPRSTATE,SYSTEM OPERATE STATE,
15178,체계장비구분코드,SYSEQPDVCD,SYSTEM EQUIPMENT DIVISION CODE,
15179,체공,STYAIR,STAY IN THE AIR,
15180,체공대기근접항공지원,XCAS,AIR ALERT CLOSE AIR SUPPORT,
15181,체공대기항공차단,XAI,AIR ALERT AIR INTERDICTION,
15182,체공시간,ENDRC,ENDURANCE,
15183,체납,AREAR,ARREAR,
15184,체납액,AMTAREAR,AMOUNT IN ARREARS,체납금액
15185,체납요금,DTRG,DELINQUENT CHARGE,
15186,체내,INBD,INSIDE BODY,
15187,체당금,SDAP,SUBSTITUTED DONATION FOR ANOTHER PERSON,
15188,체력,PHSTR,PHYSICAL STRENGTH,
15189,체력검정,PHSTEXM,PHYSICAL STRENGTH EXAMINATION,
15190,체력검정일자,PSEDT,PHYSICAL STRENGTH EXAMINATION DATE,체력검정일
15191,체력장,PHYCHT,PHYSICAL CHARTER,
15192,체류,STAY,STAYING,
15193,체류일자,STAYDT,STAYING DATE,체류일
15194,체비지,ALSARDO,AREA OF LAND SECURED BY THE AUTHORITIES IN RECOMPE,
15195,체약국자동차,CBTP,CARS BELONGING TO TREATY POWERS,
15196,체온,BDTPRT,BODY TEMPERATURE,
15197,체온계,CLLM,CLINICAL THERMOMETER,
15198,체외,OUTBD,OUTSIDE BODY,
15199,체위,PSTR,POSTURE,
15200,체육관,GMNSM,GYMNASIUM,
15201,체인,CHAIN,CHAIN,
15202,체재비,STAYCST,STAYING COST,체제비
15203,체제,SSTM,SYSTEM,체재
15204,체중,WEIGHT,WEIGHT,몸무게
15205,체질,PHYSG,PHYSIOGNOMY,
15206,체질량지수,BMI,BODY MASS INDEX,
15207,체촌,MESBSZ,MEASURE BODY SIZE,
15208,체크리스트,CHKLST,CHECK LIST,
15209,체크박스,CKBOX,CHECK BOX,
15210,체크아웃,CKOUT,CHECKOUT,
15211,체크아웃,CHECKOUT,CHECK OUT,
15212,체크인,CHECKIN,CHECK IN,
15213,체크일,CKDY,CHECK DAY,
15214,체크카드,CHCAD,CHECK CARD,
15215,체험단,EPG,EXPERIENCE GROUP,
15216,체형,BYP,BODY TYPE,
15217,체화,ACUDG,ACCUMULATION OF UNDELIVERED GOODS,
15218,초,SEC,SECOND,
15219,초,ULT,ULTRA,
15220,초,BGNNG,BEGINNING,
15221,초계,PATRL,PATROL,
15222,초과,EXCS,EXCESS,OVER
15223,초과근무,OVTMWK,OVERTIME WORK,시간외근무
15224,초과근무수당,OVTMPAY,OVERTIME PAY,"시간외초과수당,시간수당,초과수당,시간외수당"
15225,초과량,EXCSQTY,EXCESS QUANTITY,초과수량
15226,초과보험,ESRC,EXCESSIVE INSURANCE,
15227,초과저지장비,ARTGR,ARRESTING GEAR,
15228,초과품,ECPRPT,EXCESS PROPERTY,
15229,초과품목,EXCITM,EXCESS ITEM,
15230,초급,BGRD,BASIC GRADE,
15231,초기,INITL,INITIAL,
15232,초기설정값,PSTNO,PRESET NUMBER,
15233,초기화,INTL,INITIALIZATION,
15234,초단파,VHF,VERY HIGH FREQUENCY,VHF
15235,초대,INVTT,INVITATION,
15236,초도,FSTM,FIRST TIME,
15237,초동,BGMV,BEGINNING MOVEMENT,
15238,초등교육,ELEEDU,ELEMENTARY EDUCATION,
15239,초등군사반,OBC,OFFICERS BASIC COURSE,
15240,초등학교,ELESCH,ELEMENTARY SCHOOL,
15241,초등학생,SCHBOY,SCHOOLBOY,
15242,초목,TRPLT,TREE AND PLANTS,
15243,초목정보코드,TRPLTINFCD,TREE AND PLANTS INFORMATION CODE,
15244,초미세먼지,ULFPTC,ULTRAFINE PARTICLES,
15245,초번,FSTDUTY,FIRST DUTY,
15246,초본,ABSTRCT,ABSTRACT,
15247,초상,SSFSFR,FIRST FROST OF SEASON,
15248,초상기온,GRSTM,GRASS TEMPERATURE,
15249,초속,SPDPS,SPEED PER SECOND,
15250,초순,FTDAYMON,THE FIRST TEN DAYS OF A MONTH,
15251,초안,DRFT,DRAFT,
15252,초음파,SPSNWV,SUPERSONIC WAVES,
15253,초음파검사,SONO,SONOGRAPHY,
15254,초임,FSTAPNT,FIRST APPOINTMENT,
15255,초임분류,FATCLS,FIRST APPOINTMENT CLASSIFICATION,
15256,초임획득,FAACQ,FIRST APPOINTMENT ACQUISITION,
15257,초입,ENTRY,ENTRY,
15258,초점,FOCUS,FOCUS,
15259,초지,GRSLD,GRASS LAND,
15260,초진,FSTMDEXM,FIRST MEDICAL EXAMINATION,
15261,초진가산,FTAD,FIRST MEDICAL EXAMINATION ADDITION,
15262,초진료,FSTMDEXMFEE,FIRST MEDICAL EXAMINATION FEE,
15263,초진예약,FTRSV,FIRST MEDICAL EXAMINATION RESERVATION,
15264,초진일정,FTSCH,FIRST MEDICAL EXAMINATION SCHEDULE,
15265,초진일정번호,FTSCHNO,FIRST MEDICAL EXAMINATION SCHEDULENUMBER,
15266,초진재진,FSSNMED,FIRST MEDICAL EXAMINATION MORE THAN FIRST MEDICAL EXAMINATION,
15267,초진환자,FTPTT,FIRST MEDICAL EXAMINATION PATIENT,
15268,초진횟수,FTNUM,FIRST MEDICAL EXAMINATION NUMBER OF TIMES,
15269,촉매,CTLYST,CATALYST,
15270,촉탁,CHGAFR,CHARGING WITH AN AFFAIR,
15271,촉탁서,ETRSDOC,ENTRUSTING DOCUMENT,
15272,촉탁서구분코드,EDDCD,ENTRUSTING DOCUMENT DIVISION CODE,
15273,촉탁자,PTTMEP,PART TIME EMPLOYEE,
15274,총,TOTAL,TOTAL,
15275,총감독,GMGR,GENERAL MANAGER,
15276,총건수,TOTCNT,TOTAL COUNT,
15277,총경,POLCSP,POLICE SUPERINTENDENT,
15278,총공사용역일수기준구분코드,TCSNDSDCD,TOTAL CONSTRUCTION WORK SERVICE NUMBER OF DAY STANDARD DIVISION CODE,
15279,총괄,GNRZ,GENERALIZATION,
15280,총괄구매,BO,BLANKET ORDER CASE,
15281,총괄배정계획,TAPLN,TOTAL ALLOCATION PLAN,
15282,총괄주관기관,GRMS,GENERALIZATION MANAGEMENT INSTITUTION,
15283,총괄청,MOSAF,MINISTRY OF STRATEGY AND FINANCE,
15284,총금액,GRAMT,GROSS AMOUNT,
15285,총기,FRARM,FIREARM,
15286,총동원,GMOBL,GENERAL MOBILIZATION,
15287,총량,TOTAMT,TOTAL AMOUNT,
15288,총류탄,RFGRND,RIFLE GRENADE,
15289,총면적,TOTAR,TOTAL AREA,
15290,총무,GRFR,GENERAL AFFAIRS,
15291,총배당량,TOTAF,TOTAL ALLOCATION FACTOR,
15292,총부기금액,BKPNGAMT,BOOKKEEPING AMOUNT,
15293,총사업비,TPCO,TOTAL PROJECT COST,
15294,총산,TOTSM,TOTAL SUMMATION,
15295,총상,GNSHOT,GUNSHOT,
15296,총서,SERIS,SERIES,
15297,총서번호,LBRYNO,LIBRARY NUMBER,
15298,총소유비용,TOTOWNCST,TOTAL OWNERSHIP COST,
15299,총수량,TOTLAMT,TOTAL AMOUNT,
15300,총액,TTLAMT,TOTAL AMOUNT,
15301,총액계상,TOTARP,TOTAL APPROPRIATE,
15302,총액계상사업,TABIZ,TOTAL APPROPRIATION BUSINESS,총액계상예산사업
15303,총액제,ALONBS,ALL OR NONE BASIS,
15304,총원,WHLPSN,THE WHOLE PERSONNEL,
15305,총원가,TOTCST,TOTAL COST,
15306,총의,CLCTOP,COLLECTIVE OPINION,
15307,총자본,TLNNTW,TOTAL LIABILITIES AND NET WORTH,
15308,총장,SCRTGENL,SECRETARY-GENERAL,
15309,총점,TOTSCR,TOTAL SCORE,
15310,총칙,GNRLRULE,GENERAL RULES,
15311,총판,ECLL,EXCLUSIVE SALE,
15312,총평,GNRV,GENERAL REVIEW,
15313,총할,GLCL,GENERAL CONTROL,
15314,총회,GNRMTNG,GENERAL MEETING,
15315,촬영,SHTNG,SHOOTING,
15316,촬영일자,SHTNGDT,SHOOTING DATE,
15317,최,MOST,MOST,
15318,최고,HGHST,HIGHEST,
15319,최고가,HSTPRC,THE HIGHEST PRICE,최고가격
15320,최고경영자,CEO,CHIEF EXECUTIVE OFFICER,CEO
15321,최고기온,HGTM,HIGHEST  TEMPERATURE,
15322,최고정보책임자,CIO,CHIEF INFORMATION OFFICER,CIO
15323,최고정수,XL,MAXIMUM LEVEL,
15324,최근,RCT,RECENT,
15325,최기신고망,CRNET,CLOSE REPORT NETWORK,
15326,최기역,CLSTN,CLOSE STATION,
